id,superficial_u,x,y,z
2.84,0.99999999999949,2.84,0.5,0
2.85,0.99999999999956,2.85,0.5,0
2.86,0.99999999999956,2.86,0.5,0
2.87,0.99999999999956,2.87,0.5,0
2.88,0.99999999999956,2.88,0.5,0
2.89,0.99999999999957,2.89,0.5,0
2.9,0.99999999999957,2.9,0.5,0
2.91,0.99999999999957,2.91,0.5,0
2.92,0.99999999999957,2.92,0.5,0
2.93,0.9999999999994,2.93,0.5,0
2.94,0.9999999999994,2.94,0.5,0
2.95,0.9999999999994,2.95,0.5,0
2.96,0.9999999999994,2.96,0.5,0
2.97,0.99999999999938,2.97,0.5,0
2.98,0.99999999999938,2.98,0.5,0
2.99,0.99999999999938,2.99,0.5,0
3,0.99999999999938,3,0.5,0
3.01,0.99999999999946,3.01,0.5,0
3.02,0.99999999999946,3.02,0.5,0
3.03,0.99999999999946,3.03,0.5,0
3.04,0.99999999999946,3.04,0.5,0
3.05,0.99999999999933,3.05,0.5,0
3.06,0.99999999999933,3.06,0.5,0
3.07,0.99999999999933,3.07,0.5,0
3.08,0.99999999999933,3.08,0.5,0
3.09,0.99999999999951,3.09,0.5,0
3.1,0.99999999999951,3.1,0.5,0
3.11,0.99999999999951,3.11,0.5,0
3.12,0.99999999999951,3.12,0.5,0
3.13,0.99999999999932,3.13,0.5,0
3.14,0.99999999999932,3.14,0.5,0
3.15,0.99999999999932,3.15,0.5,0
3.16,0.99999999999932,3.16,0.5,0
3.17,0.99999999999924,3.17,0.5,0
3.18,0.99999999999924,3.18,0.5,0
3.19,0.99999999999924,3.19,0.5,0
3.2,0.99999999999924,3.2,0.5,0
3.21,0.99999999999913,3.21,0.5,0
3.22,0.99999999999913,3.22,0.5,0
3.23,0.99999999999913,3.23,0.5,0
3.24,0.99999999999913,3.24,0.5,0
3.25,0.99999999999908,3.25,0.5,0
3.26,0.99999999999908,3.26,0.5,0
3.27,0.99999999999908,3.27,0.5,0
3.28,0.99999999999908,3.28,0.5,0
3.29,0.99999999999911,3.29,0.5,0
3.3,0.99999999999911,3.3,0.5,0
3.31,0.99999999999911,3.31,0.5,0
3.32,0.99999999999911,3.32,0.5,0
3.33,0.99999999999912,3.33,0.5,0
3.34,0.99999999999912,3.34,0.5,0
3.35,0.99999999999912,3.35,0.5,0
3.36,0.99999999999912,3.36,0.5,0
3.37,0.99999999999917,3.37,0.5,0
3.38,0.99999999999917,3.38,0.5,0
3.39,0.99999999999917,3.39,0.5,0
3.4,0.99999999999917,3.4,0.5,0
3.41,0.99999999999916,3.41,0.5,0
3.42,0.99999999999916,3.42,0.5,0
3.43,0.99999999999916,3.43,0.5,0
3.44,0.99999999999916,3.44,0.5,0
3.45,0.99999999999925,3.45,0.5,0
3.46,0.99999999999925,3.46,0.5,0
3.47,0.99999999999925,3.47,0.5,0
3.48,0.99999999999925,3.48,0.5,0
3.49,0.99999999999925,3.49,0.5,0
3.5,0.99999999999925,3.5,0.5,0
3.51,0.99999999999925,3.51,0.5,0
3.52,0.99999999999925,3.52,0.5,0
3.53,0.99999999999929,3.53,0.5,0
3.54,0.99999999999929,3.54,0.5,0
3.55,0.99999999999929,3.55,0.5,0
3.56,0.99999999999929,3.56,0.5,0
3.57,0.99999999999934,3.57,0.5,0
3.58,0.99999999999934,3.58,0.5,0
3.59,0.99999999999934,3.59,0.5,0
3.6,0.99999999999934,3.6,0.5,0
3.61,0.99999999999945,3.61,0.5,0
3.62,0.99999999999945,3.62,0.5,0
3.63,0.99999999999945,3.63,0.5,0
3.64,0.99999999999945,3.64,0.5,0
3.65,0.99999999999952,3.65,0.5,0
3.66,0.99999999999952,3.66,0.5,0
3.67,0.99999999999952,3.67,0.5,0
3.68,0.99999999999952,3.68,0.5,0
3.69,0.9999999999995,3.69,0.5,0
3.7,0.9999999999995,3.7,0.5,0
3.71,0.9999999999995,3.71,0.5,0
3.72,0.9999999999995,3.72,0.5,0
3.73,0.99999999999959,3.73,0.5,0
3.74,0.99999999999959,3.74,0.5,0
3.75,0.99999999999959,3.75,0.5,0
3.76,0.99999999999959,3.76,0.5,0
3.77,0.99999999999945,3.77,0.5,0
3.78,0.99999999999945,3.78,0.5,0
3.79,0.99999999999945,3.79,0.5,0
3.8,0.99999999999945,3.8,0.5,0
3.81,0.99999999999952,3.81,0.5,0
3.82,0.99999999999952,3.82,0.5,0
3.83,0.99999999999952,3.83,0.5,0
3.84,0.99999999999952,3.84,0.5,0
3.85,0.99999999999949,3.85,0.5,0
3.86,0.99999999999949,3.86,0.5,0
3.87,0.99999999999949,3.87,0.5,0
3.88,0.99999999999949,3.88,0.5,0
3.89,0.99999999999941,3.89,0.5,0
3.9,0.99999999999941,3.9,0.5,0
3.91,0.99999999999941,3.91,0.5,0
3.92,0.99999999999941,3.92,0.5,0
3.93,0.9999999999994,3.93,0.5,0
3.94,0.9999999999994,3.94,0.5,0
3.95,0.9999999999994,3.95,0.5,0
3.96,0.9999999999994,3.96,0.5,0
3.97,0.99999999999947,3.97,0.5,0
3.98,0.99999999999947,3.98,0.5,0
3.99,0.99999999999947,3.99,0.5,0
4,0.99999999999947,4,0.5,0
